,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
0,63,119,1.4,31.72662264,0.005067902412,74.28632758,0.11747157
1,196,296,2.8,31.00739245,-0.02244157133,90.8773492,0.2112738175
2,164,96,5.2,27.02902138,-0.06903429038,70.42958467,0.1964424487
3,253,130,3.4,26.88913918,0.03728083906,73.11957484,0.187619938
4,228,163,4.2,29.67647456,-0.02064486967,60.52120116,0.1036650902
5,274,99,1.1,28.07903397,0.03486406161,85.70623402,0.2057850122
6,57,120,1.5,34.19301413,-0.01154155205,87.78713466,0.1247811665
7,25,237,4.3,30.77464317,-0.02387431034,81.43375131,0.2061997473
8,17,5,2.3,28.78553234,0.003921690136,77.7488695,0.05046221018
9,139,133,4.4,32.27927676,0.0007163378043,91.24318049,0.15232122
10,296,289,3.7,30.04961435,0.01834697315,67.87833051,0.06211964257
11,224,140,3.0,29.49052085,-0.02190287988,107.4441518,0.0379889709
12,209,133,3.5,34.14513816,0.005359808299,91.93546108,0.2173202186
13,89,187,2.7,34.65174084,-0.004805242613,71.85985205,0.1586344425
14,66,190,5.4,28.96065919,-0.02582195611,94.48406949,0.1660632158
15,208,113,2.0,31.39169985,0.01073811081,86.95962002,0.21876361
16,14,28,2.6,28.86630929,0.01808457491,83.42554925,0.1982731968
17,212,145,2.7,34.71073289,0.004411587525,98.79436698,0.1944274367
18,214,138,1.1,33.32191227,0.005389507504,85.44406281,0.1229528536
19,17,32,2.1,34.25846903,0.004317701733,98.53103579,0.2647739708
20,122,214,3.1,29.94594459,-0.04381047313,73.79679831,0.1013184977
21,136,290,1.9,31.3424175,0.0005369200726,79.59683698,0.1809996354
22,222,135,1.6,31.12036957,0.0003412122362,80.74368442,0.2035007529
23,219,172,1.1,34.71805607,-0.001956388782,82.72675752,0.2238164187
24,92,219,2.2,34.43576748,0.008826938388,66.36192789,0.1914134545
25,154,276,2.0,29.55305313,-0.01023386912,103.8637697,0.1655249635
26,3,233,3.5,31.15672329,-0.01255903279,62.42230326,0.1131833522
27,153,291,1.9,30.83415806,0.004962131799,77.64241415,0.1770272339
28,215,147,1.6,33.5411303,-0.002925364772,100.7806427,0.1657136712
29,262,73,3.2,33.31745567,-0.02408428101,71.17716133,0.1483311147
30,212,141,2.0,33.29256981,0.01201064107,100.0582011,0.1897240062
31,137,212,1.5,27.67864995,0.02610250059,64.13400715,0.08365374401
32,184,285,1.5,33.24086538,-0.02293598029,82.91126093,0.1892924679
33,233,118,2.4,34.92973082,-0.01455239118,67.5959625,0.2612143737
34,167,297,3.6,32.22780473,-0.006655597553,83.59194471,0.08777688897
35,17,4,1.5,33.28596055,0.03261354099,88.70281386,0.1287793442
36,66,150,3.5,32.59785954,-0.01917368298,84.28631886,0.1901016894
37,84,216,2.8,30.27783834,-0.01595521534,55.65907982,0.07888394052
38,19,289,5.2,31.01347462,-0.01767343424,71.07947045,0.1603678257
39,37,5,2.7,34.6629694,0.003237618698,72.08867632,0.1810524138
40,94,204,3.0,35.29458785,0.001313491455,70.26801132,0.2411982328
41,23,255,2.2,30.50778736,0.004956647815,81.96332194,0.2067959802
42,227,143,3.0,35.27847935,-0.02622829952,92.16636332,0.2139157935
43,63,126,1.6,28.78039899,-0.007406741328,83.26683622,0.1763160239
44,240,132,3.1,28.529019,0.005236826078,80.33315219,0.1822800256
45,296,275,2.4,33.52784852,0.004886939645,81.83383863,0.1576294904
46,248,121,1.3,31.5615371,-0.01868236539,85.86671486,0.2573633025
47,220,141,2.9,32.97529755,-0.007761392801,106.2307219,0.1366081404
48,195,2,2.2,29.16194953,0.04013887964,83.1052762,0.1248593741
49,215,149,3.3,33.73513733,-0.007554692948,95.19424834,0.1293196005
50,17,24,1.8,32.34084738,0.01325866441,94.52340025,0.2213381677
51,31,32,2.6,31.10765564,0.003188007087,78.61963599,0.1607360728
52,87,225,2.4,29.46740152,0.006701429139,57.9988844,0.103529808
53,186,293,1.2,35.2708592,-0.006749374392,71.05378714,0.1615899149
54,20,9,1.5,34.07541134,0.004152733574,86.13277332,0.178976148
55,17,10,2.4,33.25517501,0.03004481201,91.51679464,0.135632288
56,245,112,3.3,35.46391889,-0.004924679067,82.58327122,0.2476774074
57,241,117,1.9,31.90134725,0.008443699431,66.18371579,0.1896966551
58,126,243,1.9,34.12219214,-0.006676833676,85.58652442,0.202839553
59,28,32,2.3,31.13588602,0.03023281948,88.63257283,0.151708326
